customer_unique_id,recency,frequency,monetary_value,mean_review_score,mean_payment_installments,client_status,dbscan_label
6f00d356a4be20527662aaf12116baab,282,1,3184.55,2.0,10.0,Atypique,-1
46450c74a0d8c5ca9395da1daac6c120,36,1,3184.34,1.0,10.0,VIP_atypique,-1
53fb3435773a4690e56010b169ee2820,202,1,3155.82,5.0,1.0,Atypique,-1
c6111f70f40b3420e387493c627c27fa,324,1,3126.5,5.0,10.0,Atypique,-1
895617ab63a9ad8881d9470f7427cd25,328,1,3126.5,5.0,4.0,Atypique,-1
be825ddd3b40db3f91bf05b4e9435d56,79,1,3122.72,5.0,10.0,VIP_atypique,-1
f886a3f43af9ac928fbb4b56436c528c,15,1,3076.13,5.0,10.0,VIP_atypique,-1
ef8d54b3797ea4db1d63f0ced6a906e9,133,1,3018.6,5.0,1.0,Atypique,-1
4683ad127301c1bcbd601a30bb22d2ba,124,1,3005.06,5.0,10.0,Atypique,-1
129bfc164612d70a040a844b887dfec5,165,1,2960.05,4.0,10.0,Atypique,-1
d9f8d6be11fb416742c9e35e725303f7,283,1,2938.17,3.0,1.0,Atypique,-1
5599df2eeb9e2e4f377db24e09cb976f,302,1,2913.47,3.0,10.0,Atypique,-1
fff5eb4918b2bf4b2da476788d42051c,58,1,2844.96,5.0,1.0,VIP_atypique,-1
c38b132f1c68c14c0d3b32e66b796eba,146,1,2838.22,5.0,8.0,Atypique,-1
8ad6fdb3d658f916f444aaf55a49bb29,93,1,2828.42,5.0,6.0,VIP_atypique,-1
25bedfc6317ec4a379ef49b9c1049733,124,1,2818.74,1.0,10.0,Atypique,-1
34ff67eb3466a779b2f6b6fd56a3b953,90,1,2787.87,5.0,1.0,VIP_atypique,-1
eae0a83d752b1dd32697e0e7b4221656,127,2,2783.01,3.0,8.0,Atypique,-1
acc38a550c42d17125cd25c32a464d26,112,1,2759.95,5.0,10.0,VIP_atypique,-1
ec5d2f91c651ce345616c7035fab6f9d,276,1,2759.88,1.0,1.0,Atypique,-1
0de97ff655abfc142ba6fc83e86bf082,270,1,2734.66,5.0,10.0,Atypique,-1
13d9920a16127351540bcd95ad4643c8,251,1,2733.63,1.0,1.0,Atypique,-1
fc54c2c09aee36da48881e5bf37ef795,258,1,2732.06,4.0,10.0,Atypique,-1
f140f377d666848e3712b51a2734d120,31,1,2713.36,4.0,1.0,VIP_atypique,-1
5e92460d739e8dd987e279285a1d278c,17,1,2713.36,5.0,1.0,VIP_atypique,-1
f44ffa618df5f8a65899275c93b14ae2,110,1,2638.64,4.0,10.0,VIP_atypique,-1
684da9ec00ee25877fe21ce197403d04,113,1,2616.0,5.0,10.0,VIP_atypique,-1
26b5839e505ee33e6a449f7c2c403f99,90,1,2607.09,3.0,10.0,VIP_atypique,-1
7386ded430d6aeb715a0d087c38a2dfe,167,1,2590.61,1.0,6.0,Atypique,-1
0621cda5f3ee9a2e6f3ae6ebb5fcdbe1,103,1,2564.65,5.0,10.0,VIP_atypique,-1
02ccceb879088a0253e1e46e0200bdb8,21,1,2512.53,4.0,1.0,VIP_atypique,-1
5dff3703f9d82688ab5a1c92df1e4b18,306,1,2467.33,1.0,10.0,Atypique,-1
bef3ce10ea5715fbcbcbe3b266ee94c5,97,1,2467.17,5.0,10.0,VIP_atypique,-1
0bec90ebca9ff4b2b830950bb052e52d,127,1,2457.44,5.0,1.0,Atypique,-1
8e07cbdbbb24328ece74135e2a81405b,20,1,2455.12,1.0,10.0,VIP_atypique,-1
d3ef55d6de8e4be1d4b905e8169224b5,272,1,2452.12,5.0,8.0,Atypique,-1
d77aa95864ae5b42160937615628723a,365,2,2450.1,5.0,15.0,Atypique,-1
85475e754525d6d222d917dbc8251801,32,1,2438.51,5.0,8.0,VIP_atypique,-1
24c0598e5978021ede868fbf7526544a,279,1,2429.68,4.0,8.0,Atypique,-1
98133dfcdb0c24fa03c9eb4f0d69a6c4,278,1,2416.0,5.0,10.0,Atypique,-1
86df00dc5fd68f4dd5d5945ca19f3ed6,320,3,2400.48,5.0,10.0,Atypique,-1
87070b00f89fa49dd0b01ff4bf075b8c,134,1,2389.78,5.0,3.0,Atypique,-1
e3e0e9112264452e4700d977ce02a4d1,183,1,2384.5,5.0,1.0,Atypique,-1
7b0eaf68a16e4808e5388c67345033c9,103,2,2340.08,5.0,1.0,VIP_atypique,-1
c53a15252bb69a238a59b79c58a84bcf,282,1,2338.48,1.0,10.0,Atypique,-1
6963ee67570e4454bf00b3e5fe52f734,10,1,2337.4,5.0,10.0,VIP_atypique,-1
c01158adcf91ee8f143d12388abe5f22,81,1,2333.97,4.0,1.0,VIP_atypique,-1
e6fad5b1c79a4760aac5068d09c46535,4,1,2328.4,5.0,10.0,VIP_atypique,-1
6a71207bf8784292ad3f6e107ab57755,71,1,2325.22,4.0,10.0,VIP_atypique,-1
8a8ac60fd8ea25925f379a33ef277987,15,1,2322.32,1.0,10.0,VIP_atypique,-1
